UX-UI Manager,Barcelona,09-12-13
Diseñador Mobile UX-UI,Madrid,03-02-14
Senior UI-UX Designer,Madrid,05-03-14
Front-end developer (UI UX Mobile),Bilbo,05-03-14
Diseñador UI Senior,Barcelona,11-04-14
Front-end developer UI designer,Las Rozas,22-04-14
Diseñador UI-UX Apps,Murcia,25-04-14
Diseñador UI-UX,Madrid,27-05-14
UX-UI Frontender,Barcelona,27-05-14
UX-UI Designer (M-F),Lisboa,01-07-14
UI-UX Designer,Madrid,16-07-14
UX UI designer,Barcelona,07-08-14
Diseñador gráfico-UI-UX,Leganés,07-08-14
Diseñador visual UI-UX,Madrid,16-09-14
UI-UX Senior Designer,Madrid,03-10-14
Senior Mobile Designer & UX-UI Web,Madrid,21-10-14
Diseñador-a Gráfico UI-UX,Elda,16-10-14
Diseñador UI Senior (zona Valencia),Valencia,04-11-14
UI-UX Designer,Madrid,31-10-14
Diseñador UX-UI junior,Madrid,26-11-14
UX UI Designer,Barcelona,25-11-14
Senior UI Artist,Barcelona,24-11-14
UX-UI Junior Web Designer,Barcelona,07-01-15
Diseñador UI-UX y programador Frontend,Barcelona,13-01-15
Web Designer (UX-UI),Barcelona,12-02-15
Front-end developer (UX-UI),Barcelona,12-02-15
Senior UX-UI Designers,Madrid,09-02-15
UX-UI Backend Designer,Barcelona,15-02-15
UI-UX Designer Freelance or Part-Time,Valencia,27-02-15
UX-UI Desing Manager- Oberta Publishing,Barcelona,26-02-15
UI-UX Designer,Barcelona,04-03-15
UI-UX Designer,Murcia,17-03-15
UI-UX Designer,Madrid,16-03-15
Diseñador UI-UX y maquetador web en HTML5-CSS3,Las Palmas de Gran Canaria,10-04-15
Senior Developer HTML5-SVG-CSS3 UI Designer,Málaga,13-04-15
Diseñador UI-UX y maquetador web en HTML5-CSS3,Alcoy,13-04-15
Diseñador maquetador web UI-UX,Sevilla,17-04-15
Diseñador Visual UI-UX,Madrid,22-04-15
Experienced UI Artist (within gaming),Barcelona,07-05-15
Diseñador-a JUNIOR-SENIOR (gráfico UI-UX),Gijón,07-05-15
Diseñador programador UX UI,Rafelbuñol,13-05-15
Diseñador UX- UI Designer,Madrid,12-05-15
Diseñador de aplicaciones móviles (iOS Android) UI UX,Madrid,18-05-15
UI-UX Designer,Barcelona,22-05-15
Diseñador UI-UX,Barcelona,29-05-15
Diseñador UX-UI,Madrid,10-06-15
UX & UI Designer at Medtep,Barcelona,11-06-15
(UK) Consultor CX-UX-UI Designer,Madrid,06-07-15
Diseño de experiencia de usuario e interfaz UX UI,Madrid,15-07-15
Diseñador Gráfico con experiencia en UI-UX,Barcelona,17-07-15
Diseñador UI-UX Junior,Barcelona,03-08-15
Junior UI Designer,Madrid,14-08-15
Senior UI Developer,Málaga,24-08-15
UX-UI designer (mobile),Indiferente,07-09-15
UI-UX Designer for mobile and desktop apps,Barcelona,03-09-15
Diseñador UI Senior,Madrid,10-09-15
UI-UX Designer- WPF engineers,Algete,09-09-15
