puesto,ciudad,fecha
Diseñador Flash,Barcelona,20-07-09
Diseñador-a Web CSS-HTML,Zaragoza,16-07-09
Diseñador-maquetador Web. Freelance a jornada completa,Madrid,16-07-09
Programador Web y-o Diseñador,En remoto,14-07-09
Diseñador Senior o Director de Arte,Madrid,21-08-09
Diseñador,Madrid,17-08-09
Diseñador Web,Madrid,14-08-09
Maquetador XHTML-Diseñador Web,Madrid,14-08-09
Diseñador Web Senior,Guadalajara,10-08-09
Diseñador Web ,En remoto,08-08-09
Diseñador Gráfico-Web-Flash,Córdoba,06-08-09
Diseñadores Interactivos (Senior Middleweight Junior),Barcelona,30-07-09
Diseñador Gráfico,Barcelona,30-07-09
Diseñador Web en prácticas,Barcelona,29-07-09
Diseñador Gráfico,Barcelona,27-07-09
Diseñador Flash Freelance,Madrid,27-07-09
Diseñador Web Programador,Liria,27-07-09
Diseñador-a de Interfaces,Barcelona,27-07-09
Diseñador Web-Creativo freelance,En remoto,04-09-09
Diseñador-Maquetador Web. Creativo,San Juan de la Rambla,02-09-09
Diseñador para cabecera de serie para internet,Madrid,02-09-09
Diseñador Gráfico,Madrid,31-08-09
Diseñador-Diseñador web-Producción,Madrid,28-08-09
Diseñador gráfico junior. Prácticas,Madrid,27-08-09
Diseñador Gráfico Web Junior,Donostia,18-09-09
Director de Arte y Diseñador web,Madrid,16-09-09
Diseñador off-online,Madrid,16-09-09
Maquetador XHTML-Diseñador Web,Madrid,15-09-09
Diseñador gráfico freelance,Amorebieta-Etxano,15-09-09
Diseñador Web ,Pozuelo de Alarcón,11-09-09
Diseñador freelance,Madrid,10-09-09
Diseñador web junior,Madrid,09-09-09
Diseñador web-gráfico freelance,Madrid,09-09-09
Diseñador-programador web freelance,En remoto,07-09-09
Diseñador Web Senior experto en UX,Barcelona,01-10-09
Diseñador Gráfico,Valencia,01-10-09
Diseñador Junior,Madrid,25-09-09
Diseñador-ar Senior con experiencia en Dirección Creativa,Buenos Aires,23-09-09
Diseñador web,Mondragón,22-09-09
Diseñador gráfico con experiencia on-off,Palma,08-10-09
Diseñador Gráfico,Madrid,07-10-09
Diseñador Web ,En remoto,07-10-09
Diseñador-maquetador freelance,Barcelona,07-10-09
Diseñador gráfico multimedia (prácticas),Barcelona,05-10-09
Gestores de contenido y diseñadores,Madrid,02-10-09
Diseñador web junior,Madrid,26-10-09
Diseñadores gráficos freelances para montar estudio,Córdoba,23-10-09
Diseñador CSS-HTML Flash,Barcelona,19-10-09
Diseñador Web-Maquetador XHTML,Cáceres,14-10-09
Diseñador gráfico,L'Hospitalet de Llobregat,13-10-09
Diseñador-a Web. Incorporación inmediata,Madrid,06-11-09
Diseñador Flash,Barcelona,03-11-09
Diseñador Gráfico Junior,Madrid,30-10-09
