puesto,ciudad,fecha
Programador-a Flash,Barcelona,07-10-08
Programador Creativo Flash-Back,Madrid,07-10-08
Programador creativo-Flash,Madrid,07-10-08
Programador-animador Flash,Barcelona,12-10-08
Programadores Flash-PHP,Barcelona,23-10-08
Diseñador-maquetador Flash,Boadilla del Monte,21-10-08
Desarrollador Flash XHTML CSS,Barcelona,20-10-08
Programador PHP y Flash,Barcelona,30-10-08
Programador freelance Flash,Madrid,23-10-08
Flashero freelance,En remoto,10-11-08
Animador-a Flash 2D (de personajes) para trabajo freelance,Madrid,17-11-08
Maquetador Flash,Barcelona,05-12-08
Desarrollador Flash programación back-end,Barcelona,04-12-08
Programador Animador Flash,Londres,29-11-08
Flasheros,Barcelona,21-11-08
Programador-a Senior Flash,Madrid,30-12-08
Diseñador orientado a Flash,Madrid,18-12-08
Programador Flash (nivel medio),Madrid,16-12-08
Programador front-end Flash,Barcelona,19-01-09
Flasheros híbridos. Dirección de Arte y Programación front-end,Madrid,15-01-09
Animador Flash,Madrid,15-01-09
Programador Flash,Madrid,14-01-09
Programador diseñador para portal web y juegos Flash,Esplugues de Llobregat,09-01-09
Desarrollador Flash,Barcelona,06-02-09
Front-end-Flash developer,Barcelona,05-02-09
Desarrollador Flash AS2-AS3,Barcelona,26-01-09
Animador-Programador Flash,Madrid,25-01-09
Diseñador Flash,Barcelona,25-02-09
Animadores Flash,Barcelona,24-02-09
Diseñador Flash XML,Barcelona,23-02-09
Programador Creativo Senior Flash Actionscript 2-3 (No freela...,Barcelona,17-02-09
Programador Flash Senior,Madrid,16-02-09
Programador Web-Flash,Madrid,12-02-09
Programador Flash Scorm,En remoto,09-02-09
Creativo y diseñador Flash,Madrid,16-03-09
Diseñador Flash junior,Madrid,09-03-09
Programador Flash-MySQL con PHP,Barcelona,30-03-09
Programador Flash Junior,Madrid,20-03-09
Flash Developer Programmer and Designer,Barcelona,15-04-09
Desarrollador Flash,Bilbo,15-04-09
Programador Flash,Ciudad de México,01-04-09
Programador Flash,Madrid,01-04-09
Diseñador Flash y Actionscript,Madrid,30-04-09
Animador Flash 2D,Madrid,27-04-09
Diseñador web (Flash y programación AS),Madrid,22-04-09
Animador Flash motion graphic designer o similar,Barcelona,27-05-09
Programador Actionscript-animador Flash,Sevilla,27-05-09
Diseñador-a Flash,Barcelona,18-05-09
Socio-colaborador contínuo desarrollador web Flash AS,Madrid,14-05-09
Desarrollador Flash AS2-AS3,Barcelona,08-05-09
Programador Senior Flash AS2-AS3,Barcelona,08-05-09
Programadores Flash,Barcelona,08-06-09
Maquetador web CSS-Flash,Barcelona,04-06-09
Programador Flash Junior,Madrid,18-06-09
Freelance Flash,Barcelona,11-06-09
Flash Developer,Barcelona,10-07-09
Flasheros freelance creativos,Madrid,08-07-09
Animador Flash junior,Barcelona,03-07-09
Programador Flash (AS2 AS3),Madrid,27-06-09
Diseñador Flash Freelance,Alacant,27-07-09
Diseñador Flash,Barcelona,20-07-09
Flash con diseño (PHP AIR...),Madrid,13-07-09
Diseñador Gráfico-Web-Flash,Córdoba,06-08-09
Diseñador Flash Freelance,Madrid,27-07-09
Programador PHP-Flash,Madrid,27-08-09
Desarrollador Flash PHP,Madrid,27-08-09
Flash Developer,Barcelona,17-09-09
Programador Flash (AS Flex...),Madrid,16-09-09
Freelance para proyecto Flash 3D,Granada,10-09-09
Programador PHP Flash,Barcelona,25-09-09
Desarrollador Flash,Buenos Aires,25-09-09
Programador Flash,Madrid,05-10-09
Programadores Flash,En remoto,02-10-09
Diseñador CSS-HTML Flash,Barcelona,19-10-09
Programador Animador Flash (Actionscript),Barcelona,05-11-09
Diseñador Flash,Barcelona,03-11-09
Ilustrador-Animador en Flash,Madrid,02-11-09
Programador Flash+Papervision 3D,Barcelona,13-11-09
