fecha,total,mes,year
1-oct-08,80,octubre,2008
1-nov-08,59,noviembre,2008
1-dec-08,39,diciembre,2008
1-jan-09,52,enero,2009
1-feb-09,46,febrero,2009
1-mar-09,60,marzo,2009
1-apr-09,47,abril,2009
1-may-09,45,mayo,2009
1-jun-09,62,junio,2009
1-jul-09,67,julio,2009
1-aug-09,32,agosto,2009
1-sep-09,68,septiembre,2009
1-oct-09,77,octubre,2009
1-nov-09,86,noviembre,2009
1-dec-09,70,diciembre,2009
1-jan-10,75,enero,2010
1-feb-10,105,febrero,2010
1-mar-10,110,marzo,2010
1-apr-10,107,abril,2010
1-may-10,109,mayo,2010
1-jun-10,114,junio,2010
1-jul-10,86,julio,2010
1-aug-10,71,agosto,2010
1-sep-10,156,septiembre,2010
1-oct-10,146,octubre,2010
1-nov-10,136,noviembre,2010
1-dec-10,118,diciembre,2010
1-jan-11,176,enero,2011
1-feb-11,160,febrero,2011
1-mar-11,200,marzo,2011
1-apr-11,190,abril,2011
1-may-11,257,mayo,2011
1-jun-11,201,junio,2011
1-jul-11,180,julio,2011
1-aug-11,123,agosto,2011
1-sep-11,227,septiembre,2011
1-oct-11,216,octubre,2011
1-nov-11,230,noviembre,2011
1-dec-11,153,diciembre,2011
1-jan-12,136,enero,2012
1-feb-12,201,febrero,2012
1-mar-12,163,marzo,2012
1-apr-12,129,abril,2012
1-may-12,152,mayo,2012
1-jun-12,107,junio,2012
1-jul-12,89,julio,2012
1-aug-12,68,agosto,2012
1-sep-12,96,septiembre,2012
1-oct-12,85,octubre,2012
1-nov-12,85,noviembre,2012
1-dec-12,58,diciembre,2012
1-jan-13,99,enero,2013
1-feb-13,102,febrero,2013
1-mar-13,88,marzo,2013
1-apr-13,92,abril,2013
1-may-13,79,mayo,2013
1-jun-13,120,junio,2013
1-jul-13,102,julio,2013
1-aug-13,64,agosto,2013
1-sep-13,88,septiembre,2013
1-oct-13,85,octubre,2013
1-nov-13,119,noviembre,2013
1-dec-13,116,diciembre,2013
1-jan-14,134,enero,2014
1-feb-14,136,febrero,2014
1-mar-14,120,marzo,2014
1-apr-14,120,abril,2014
1-may-14,104,mayo,2014
1-jun-14,112,junio,2014
1-jul-14,122,julio,2014
1-aug-14,72,agosto,2014
1-sep-14,136,septiembre,2014
1-oct-14,131,octubre,2014
1-nov-14,119,noviembre,2014
1-dec-14,97,diciembre,2014
1-jan-15,138,enero,2015
1-feb-15,161,febrero,2015
1-mar-15,199,marzo,2015
1-apr-15,195,abril,2015
1-may-15,167,mayo,2015
1-jun-15,137,junio,2015
1-jul-15,141,julio,2015
1-aug-15,103,agosto,2015
1-sep-15,182,septiembre,2015
1-oct-15,185,octubre,2015
1-nov-15,201,noviembre,2015
1-dec-15,134,diciembre,2015
1-jan-16,202,enero,2016
1-feb-16,235,febrero,2016
1-mar-16,212,marzo,2016
1-apr-16,189,abril,2016
1-may-16,196,mayo,2016
1-jun-16,206,junio,2016
1-jul-16,173,julio,2016
1-aug-16,164,agosto,2016
1-sep-16,212,septiembre,2016
1-oct-16,208,octubre,2016
1-nov-16,191,noviembre,2016
1-dec-16,141,diciembre,2016
1-jan-17,202,enero,2017
1-feb-17,182,febrero,2017
1-mar-17,240,marzo,2017
1-apr-17,207,abril,2017
1-may-17,220,mayo,2017
1-jun-17,208,junio,2017
1-jul-17,164,julio,2017
1-aug-17,146,agosto,2017
1-sep-17,201,septiembre,2017
1-oct-17,184,octubre,2017
1-nov-17,208,noviembre,2017
1-dec-17,128,diciembre,2017
1-jan-18,184,enero,2018
1-feb-18,277,febrero,2018
1-mar-18,217,marzo,2018
1-apr-18,236,abril,2018
1-may-18,260,mayo,2018
1-jun-18,303,junio,2018
1-jul-18,240,julio,2018
1-aug-18,194,agosto,2018
1-sep-18,348,septiembre,2018
1-oct-18,421,octubre,2018
1-nov-18,550,noviembre,2018
