
2 Directores Creativos,Santa Cruz de la Sierra, Bolivia, Estado plurinacional de,06/06/12
Diseñador gráfico, web y multimedia y desarrollador web,Vilajuïga,13/01/10
Diseñador visual web/UX que sea fino, fino...,Madrid,28/10/11
Diseñador web HTML5, CSS3 con UI/UX,Madrid,26/11/15
Diseñador web con XHTML, CSS y SEO,Madrid,08/12/09
Diseñador web con conocimientos UI, UX..,Valencia,17/04/13
Diseñador web experto en Marketing, Imagen y Publicidad,Madrid,27/03/13
Diseñador web, Desarrollador front... (Freelance),En remoto,10/09/10
Diseñador web, maquetador,Madrid,25/03/09
Diseñador(a) para e-flyer virtuales,Distrito de Lima, Perú,25/03/09
Diseñador,  UX/UI y maquetación,Madrid,19/08/11
Diseñador, Experiencia de Usuario,En remoto,12/03/12
Diseñador, Maquetador, Usabilidad Web,Madrid,13/01/14
Diseñador, creativo y maquetador senior,Madrid,14/01/16
Diseñador,San Salvador, El Salvador,24/04/11
Diseñador/ a diseño gráfico, experto en usabilidad,Barcelona,15/02/11
Diseñador/Creativo/Maquetador, online y offline,Madrid,15/03/12
Diseñador/a bolsos Portugal,Oporto, Portugal,12/07/12
Diseñador/a gráfico, UX Graphic designer,,Marbella,03/06/16
Diseñador/a gráfico/a , media jornada,Madrid,19/10/11
Diseñador/a gráfico/a, interfaz apps,Barcelona,28/06/13
Diseño Web, Contenidos y Marketing Online.,Madrid,15/09/09
Diseño Web, Maquetación HTML CSS, Flash,Majadahonda,30/03/11
Diseño gráfico,Mgarr, Malta,09/06/15
Diseño y programación web,Valencia, Venezuela, República Bolivariana de,06/05/12
Diseño, Programación e Implementación de campus virtual,Madrid,18/03/14
Diseño, Retoque de imágenes Prácticas,Barcelona,06/03/17
Diseño, desarrollo, programación y mantenimiento de App,Madrid,23/01/14
Diseño, maquetación, UX, para applicación web y móviles,Madrid,12/02/12
Editor de video (idioma alemán),Lille, Francia,07/06/16
Editor, Operador de Postproducción/Motion Graphics (2D/3D),En remoto,06/03/10
Ejecutiv@ de cuentas Junior para Agencia de Diseño,Viña del Mar, Chile,05/08/15
Ejecutivo de Cuentas empresa publicidad, marketing y comunica...,Alacant,27/09/11
Espacio de trabajo compartido (Gótico, Barcelona),Barcelona,04/07/11
Especialista After Effects, edición audiovisual,Barcelona,08/03/17
Especialista SEO, analítica web,Madrid,29/07/11
Especialista Social Media, Analítica Web, SEO, SEM,Reus,01/10/13
