puesto,ciudad,fecha
UI / UX Designer mobile,Madrid,03/01/13
Consultor UX,Madrid,29/05/12
Diseñador UX/UI junior,Madrid,26/11/14
UX Designer,Madrid,06/07/16
Diseñador Web UX / UI,Alcobendas,06/11/13
Art Director & UX / UI Designer,Barcelona,12/12/16
UX / UI designer,Barcelona,07/08/14
Freelance UX Web Designer,Barcelona,22/09/14
UX / UI Designer,Barcelona,25/11/14
UX Designer con Inglés Alto,Madrid,22/04/15
Auxiliar de Diseño Gráfico,Barcelona,16/02/16
UI/UX Designer,Madrid,16/03/15
UX/UI Manager,Barcelona,09/12/13
Diseñador Senior (UI/UX),Ciudad de México,21/12/15
UI/ UX Designer,Barcelona,05/12/12
Diseñador UX / UI,Pozuelo de Alarcón,16/12/16
Ux DESIGNER,Guadalupe,25/05/15
Great UX/UI Designer,En remoto,04/03/10
Diseñador Web/UX,Madrid,08/10/14
Diseñador/a Gráfico UI/UX,Elda,16/10/14
UX Designer,Barcelona,04/08/16
Administradores UNIX (HP-UX),Madrid,20/12/10
Técnico de sistemas Linux y Windows,Madrid,14/10/08
Front End developer /UX,Barcelona,09/02/15
Junior Systems Engineer (linux),Barcelona,08/03/17
Designer UX Web developer,Barcelona,13/08/13
Open-source Web Programmer (Linux Apache MySQL PHP, Joomla),Barcelona
Diseñador gráfico / Diseñador web / UI / UX,Madrid,14/10/16
UX Senior Product Designer,Barcelona,29/11/16
Diseñador visual UI/UX,Madrid,16/09/14
Diseñador/a UX UI,Madrid,21/01/16
UX Designer,Madrid,14/09/15
Diseñador UI/UX y maquetador web en HTML5/CSS3,Las Palmas de Gran Canaria,10/04/15
UX Designer,Madrid,28/07/15
Diseñador UX/UI freelance,Barcelona,15/02/16
Diseñador/a UX/UI Mobile,Barcelona,02/12/16
Junior UX designer,Barcelona,02/10/15
Lead UX/UI Developer at Oonair.com,Barcelona,23/01/13
Intern UI/UX Designer,Barcelona,18/01/16
Diseñador UX / UI,Madrid,06/03/17
Auxiliar Autónomo de Diseñador Gráfico que le guste el fútbol,Las Rozas,02/11/10
Jr. UX Interaction Designer,Madrid,23/02/11
UI/UX Designer,Madrid,15/04/16
UX/UI Expert,Madrid,09/05/16
Responsable de Arte y Maquetador Web UI/UX,Madrid,15/09/16
UX Designer,Barcelona,18/06/12
Diseñador Gráfico con experiencia en UI/UX,Barcelona,17/07/15
UX Designer,En remoto,08/09/16
UX/UI Frontender,Barcelona,27/05/14
Diseño/desarrollo UX/UI WEB y móvil (APPs),Barcelona,20/11/15
Director de Proyectos UX,Madrid,19/08/16
UX/UI Designer +CSS,Barcelona,22/03/16
Senior UX/UI Designer,Barcelona,24/02/17
Diseñador UI/UX freelance,Madrid,03/12/15
Diseñador de Interfaz web. UX Web Designer,Cádiz,29/05/12
Experto en UX   35.000 €,Madrid,09/06/11
técnico o auxiliar informático,Barcelona,24/01/13
Auxiliar de Project Manager Interactivo,Barcelona,17/11/09
Diseñador UX / Mejora de experiencia de usuario,Barcelona,18/05/15
UX Developer,Madrid,10/03/15
Diseñador UI/UX,Madrid,06/09/16
UI/UX Designer Freelance or Part-Time,Valencia,27/02/15
Diseñador UX/UI Junior,Madrid,15/07/16
UX/UI Designer,Barcelona,08/02/16
System Administrator Linux,Arenys de Mar,19/03/15
Diseñador freelancer website UX,Barcelona,05/04/13
UX Specialist,Barcelona,08/10/14
Prácticas: Consultor Junior UX,Madrid,02/03/15
Diseñador UX Senior,Valencia,23/11/16
Administrador/a de Sistemas Linux Senior,Pamplona,13/06/11
Administrador de sistemas GNU/Linux,Madrid,09/10/15
UX/UI Mobile Designer,Barcelona,25/02/16
UX Product Manager,Barcelona,13/02/12
Diseño de experiencia de usuario e interfaz UX / UI,Madrid,15/07/15
Experto en UX,Madrid,18/01/12
UX Senior User Experience,Barcelona,08/03/12
Consultor y Diseñador UX / Senior specialist en Visualización...,Barcelona,09/12/16
Diseñador UX Junior,Barcelona,06/05/15
Diseñador UX/AI,Barcelona,07/04/15
Diseñador web UX-UI,Pozuelo de Alarcón,16/12/15
Consultor UX Diseñador,Madrid,07/10/15
UI/UX Designer,Madrid,30/08/10
UI/UX Designer/ WPF engineers,Algete,09/09/15
Diseñador UI/UX,Barcelona,29/05/15
UX Automoción,Barcelona,21/12/16
Diseñador/a Web UX Asociado,Buenos Aires,18/02/15
USER EXPERIENCE (UX) CONSULTANT,Alacant,07/02/12
Senior UI/UX Designer,Madrid,05/03/14
UI/UX Designer (Fulltime),Barcelona,18/01/17
Interaction Designer UX,Sant Cugat del Vallès,28/01/14
Diseñador UI/UX y programador Frontend,Barcelona,13/01/15
UX Designer,Barcelona,08/11/12
Diseñador digital UI/UX,Barcelona,28/03/16
Diseñador UX-UI,Barcelona,15/04/16
Senior UX/Product Designer,Madrid,09/03/17
Ux/UI Designer,Barcelona,05/01/12
UX/UI Mobile Designer,Barcelona,19/01/16
Diseñador UX,Paseo Mikeletegi 65, planta 0
UX/UI Designer & Developer,Madrid,15/03/16
Diseño UX con experiencia,Madrid,11/02/15
UI/UX Designer,Murcia,17/03/15
Web Develper-UX,Madrid,27/01/15
Digital UX Designer,Barcelona,08/06/15
