symbol,date,price
remoto,sep 2012,1
remoto,aug 2012,1
remoto,jul 2012,5
remoto,jun 2012,7
remoto,may 2012,6
remoto,apr 2012,0
remoto,mar 2012,7
remoto,feb 2012,3
remoto,jan 2012,8
remoto,dec 2011,10
remoto,nov 2011,18
remoto,oct 2011,32
remoto,sep 2011,35
remoto,aug 2011,11
remoto,jul 2011,19
remoto,jun 2011,17
remoto,may 2011,15
remoto,apr 2011,17
remoto,mar 2011,10
remoto,feb 2011,10
remoto,jan 2011,8
remoto,dec 2010,9
remoto,nov 2010,9
remoto,oct 2010,8
remoto,sep 2010,8
remoto,aug 2010,2
remoto,jul 2010,3
remoto,jun 2010,4
remoto,may 2010,14
remoto,apr 2010,6
remoto,mar 2010,13
remoto,feb 2010,3
remoto,jan 2010,4
remoto,dec 2009,1
remoto,nov 2009,3
remoto,oct 2009,10
remoto,sep 2009,7
remoto,aug 2009,4
remoto,jul 2009,4
remoto,jun 2009,4
remoto,may 2009,1
remoto,apr 2009,2
remoto,mar 2009,1
remoto,feb 2009,5
remoto,jan 2009,2
remoto,dec 2008,3
remoto,nov 2008,4
remoto,oct 2008,6
