puesto,ciudad,fecha
Diseñador-a Flash,Barcelona,18-05-09
Editor-diseñador de vídeo y motion graphics,Barcelona,15-05-09
Programador PHP-ActionScript,Barcelona,14-05-09
Front-end Developer,Barcelona,13-05-09
Desarrollador Flash AS2-AS3,Barcelona,08-05-09
Programador Senior Flash AS2-AS3,Barcelona,08-05-09
Programador senior PHP-MySQL,Barcelona,07-05-09
Comercial autónomo para agencia de comunicación,Barcelona,10-06-09
Programador Senior PHP,Barcelona,09-06-09
Programador desarrollador web,Barcelona,09-06-09
Programadores Flash,Barcelona,08-06-09
Front-End Developer,Barcelona,05-06-09
Editor de Motion Graphics,Barcelona,05-06-09
Maquetador web CSS-Flash,Barcelona,04-06-09
Becario Picture Management remunerado con prácticas regladas,Barcelona,04-06-09
Desarrollador de Back-end,Barcelona,27-05-09
Diseñador web,Barcelona,23-06-09
Diseñador web,Barcelona,23-06-09
Programador Web PHP SEO,Barcelona,19-06-09
Diseñador-a web,Barcelona,18-06-09
Dirección Creativa,Barcelona,17-06-09
Director de Arte Gráfico y Multimedia,Barcelona,17-06-09
Desarrollo de aplicaciones para Facebook,Barcelona,16-06-09
Redactor y-o copy creativo,Barcelona,16-06-09
Maquetador InDesign CS2 con experiencia,Barcelona,15-06-09
Director de Arte Gráfico y Multimedia,Barcelona,13-06-09
Freelance Flash,Barcelona,11-06-09
Programador C++,Barcelona,10-06-09
Flash Developer,Barcelona,10-07-09
Maquetador XHTML-CSS,Barcelona,09-07-09
Desarrollador web freelance junior. 2 meses prorrogable,Barcelona,07-07-09
Producer para Productora,Barcelona,06-07-09
Animador Flash junior,Barcelona,03-07-09
Urgente. Diseñador-a Web con CSS,Barcelona,01-07-09
JAVA padawans buscados son...,Barcelona,01-07-09
Diseñador todoterreno,Barcelona,25-06-09
SEO,Barcelona,25-06-09
Diseñador-a Web,Barcelona,25-06-09
Programador web junior freelance,Barcelona,24-07-09
Programador senior-semi-senior,Barcelona,23-07-09
Programadores PHP 5,Barcelona,23-07-09
Retocadores,Barcelona,21-07-09
Diseñador Flash,Barcelona,20-07-09
Animador,Barcelona,19-07-09
Director Creativo,Barcelona,17-07-09
Fotógrafo-a,Barcelona,13-07-09
Retocadores,Barcelona,13-07-09
Programador de Wordpress,Barcelona,13-08-09
Senior Designers Motion Designers,Barcelona,31-07-09
Diseñadores Interactivos (Senior Middleweight Junior),Barcelona,30-07-09
Diseñador Gráfico,Barcelona,30-07-09
Diseñador Web en prácticas,Barcelona,29-07-09
Desarollador web junior freelance,Barcelona,29-07-09
Responsable de producción de contenidos,Barcelona,28-07-09
Diseñador Gráfico,Barcelona,27-07-09
Retocador,Barcelona,27-07-09
Diseñador-a de Interfaces,Barcelona,27-07-09
Programador multimedia,Barcelona,07-09-09
Agencia de impresión busca estudiante de diseño-maquetación p...,Barcelona,07-09-09
Webmaster para portal Joomla!,Barcelona,03-09-09
Programador PHP,Barcelona,02-09-09
Content Manager,Barcelona,28-08-09
Director de Arte Online,Barcelona,28-08-09
Desarrolladores para aplicaciones en redes sociales y teléfon...,Barcelona,27-08-09
Programador ActionScript y PHP,Barcelona,24-08-09
Flash Developer,Barcelona,17-09-09
Director Interactivo,Barcelona,15-09-09
Responsable Técnico,Barcelona,14-09-09
Ilustrador para cómic,Barcelona,10-09-09
Marketing Publicidad y Comunicación Audiovisual freelance,Barcelona,08-09-09
Animadores de vídeo para colaboración,Barcelona,08-09-09
Programador,Barcelona,01-10-09
Diseñador Web Senior experto en UX,Barcelona,01-10-09
SEO Manager,Barcelona,30-09-09
Freelance experto en Adwords y posicionamiento web,Barcelona,25-09-09
Programador PHP Flash,Barcelona,25-09-09
Ejecutivo de Cuentas para Publicidad,Barcelona,23-09-09
Programador para iPhone y-o Android,Barcelona,09-10-09
Diseñador-maquetador freelance,Barcelona,07-10-09
Diseñador gráfico multimedia (prácticas),Barcelona,05-10-09
Fotógrafo-a,Barcelona,01-10-09
Senior Interactive Designer,Barcelona,26-10-09
Mid Weight Designer Wanted,Barcelona,26-10-09
Copy,Barcelona,20-10-09
Comerciales con contactos en tiendas de ropa,Barcelona,20-10-09
Gráfico publicitario,Barcelona,20-10-09
Gestor de campañas,Barcelona,19-10-09
Diseñador CSS-HTML Flash,Barcelona,19-10-09
Maquetador Web CSS,Barcelona,19-10-09
Profesor de recursos multimedia para curso Master,Barcelona,17-10-09
Programador Animador Flash (Actionscript),Barcelona,05-11-09
Programador Web,Barcelona,04-11-09
Diseñador Flash,Barcelona,03-11-09
Docente de diseño web,Barcelona,02-11-09
Senior Interactive Designer-Art Director,Barcelona,27-10-09
Programador SEM junior,Barcelona,27-10-09
Programador Flash+Papervision 3D,Barcelona,13-11-09
Gestor de campañas,Barcelona,13-11-09
Programador Web,Barcelona,13-11-09
Director-a creativo cañero y buen redactor,Barcelona,12-11-09
Producer Audiovisual y de Eventos,Barcelona,11-11-09
Programador Web,Barcelona,11-11-09
Flashero Senior,Barcelona,09-11-09
Programador web XHTML con conocimientos avanzados de CSS,Barcelona,06-11-09
Consultor de Marketing online: SEM-SEO,Barcelona,06-11-09
Diseñador Gráfico y Dinamizador de redes sociales,Barcelona,06-11-09
Director de Arte off-on line,Barcelona,25-11-09
Content Manager,Barcelona,24-11-09
Fotógrafo-a,Barcelona,24-11-09
Programador para iPhone,Barcelona,24-11-09
Director-a de Arte,Barcelona,24-11-09
Webmaster junior HTML-CSS,Barcelona,24-11-09
Estudiante de diseño gráfico en busca de proyecto final,Barcelona,23-11-09
Planificador de Medios freelance,Barcelona,23-11-09
Programador web,Barcelona,20-11-09
2 Flash Developers,Barcelona,19-11-09
Senior and Junior Interactive Designers,Barcelona,19-11-09
Comercial-Director de cuentas,Barcelona,18-11-09
Diseñador Gráfico off-online,Barcelona,17-11-09
Freelances para Web,Barcelona,17-11-09
Programador Joomla,Barcelona,17-11-09
Auxiliar de Project Manager Interactivo,Barcelona,17-11-09
Desarrollador Junior (PHP-MySQL),Barcelona,17-11-09
Graphics Team Leader. Italiano,Barcelona,16-11-09
Motiongrapher en prácticas,Barcelona,03-12-09
Estilista para fotógrafa de moda,Barcelona,02-12-09
Programador Web PHP y Javascript,Barcelona,02-12-09
