ciudad,puesto,total
remoto,diseñador/designer/diseño,307
remoto,programador,229
remoto,marketing,21
remoto,ux,19
remoto,front,51
remoto,maquetador,41
remoto,director de arte,13
remoto,becario,2
remoto,community manager,28
remoto,seo,25
